Order id,Tracking number,Carrier,Label Created Date,Delivered date,Events,Warehouse
9870068547518,9400111107984504935553,USPS,11-01-2022 01:43,14-01-2022 22:22,"Status: delivered: Description: January 14 5:22 pm Delivered, In/At Mailbox in SAINT LOUIS, MO, date: 14-01-2022 22:22",iFulfill Warehouse
8870039523856,9400111107984504948690,USPS,11-01-2022 01:44,13-01-2022 18:22,"Status: delivered: Description: January 13 1:22 pm Delivered, In/At Mailbox in WINDSOR, CT, date: 13-01-2022 18:22",iFulfill Warehouse
8870027869607,9400111107984505328606,USPS,10-01-2022 22:41,12-01-2022 15:52,"Status: delivered: Description: January 12 10:52 am Delivered, In/At Mailbox in HENDERSON, NV, date: 12-01-2022 15:52",iFulfill Warehouse
9870067398310,9400111107984506585756,USPS,11-01-2022 18:31,15-01-2022 16:07,"Status: delivered: Description: January 15 11:07 am Delivered, Front Door/Porch in MINNEAPOLIS, MN, date: 15-01-2022 16:07",iFulfill Warehouse
9870054919747,9400111107984506604112,USPS,11-01-2022 19:12,14-01-2022 21:33,"Status: delivered: Description: January 14 4:33 pm Delivered, Front Door/Porch in COLORA, MD, date: 14-01-2022 21:33",iFulfill Warehouse
8863664362349,9400111107984506612780,USPS,11-01-2022 19:06,14-01-2022 16:47,"Status: delivered: Description: January 14 11:47 am Delivered, In/At Mailbox in VINCENT, AL, date: 14-01-2022 16:47",iFulfill Warehouse
8870023937067,9400111107984506668619,USPS,11-01-2022 19:11,13-01-2022 20:41,"Status: delivered: Description: January 13 3:41 pm Delivered, In/At Mailbox in BUFFALO, NY, date: 13-01-2022 20:41",iFulfill Warehouse
9870042765929,9400111107984507020904,USPS,11-01-2022 01:52,13-01-2022 20:32,"Status: delivered: Description: January 13 3:32 pm Delivered, Front Door/Porch in WHITE RIVER JUNCTION, VT, date: 13-01-2022 20:32",iFulfill Warehouse
9870067781600,9400111107984507047727,USPS,11-01-2022 01:50,15-01-2022 17:37,"Status: delivered: Description: January 15 12:37 pm Delivered, In/At Mailbox in DELANO, MN, date: 15-01-2022 17:37",iFulfill Warehouse
9870053506914,9400111107984507813407,USPS,11-01-2022 01:55,13-01-2022 16:02,"Status: delivered: Description: January 13 11:02 am Delivered, In/At Mailbox in SAINT ALBANS, NY, date: 13-01-2022 16:02",iFulfill Warehouse
9870067270898,9400111107984507872916,USPS,11-01-2022 01:57,14-01-2022 19:46,"Status: delivered: Description: January 14 2:46 pm Delivered, In/At Mailbox in BRYAN, TX, date: 14-01-2022 19:46",iFulfill Warehouse
3870176477561,9400111107984510027990,USPS,19-01-2022 23:19,24-01-2022 15:07,"Status: delivered: Description: January 24 10:07 am Delivered, Front Door/Porch in MANORVILLE, NY, date: 24-01-2022 15:07",iFulfill Warehouse
2870187350640,9400111107984510040364,USPS,19-01-2022 23:17,22-01-2022 20:13,"Status: delivered: Description: January 22 3:13 pm Delivered, In/At Mailbox in FLORENCE, SC, date: 22-01-2022 20:13",iFulfill Warehouse
3870187671980,9400111107984510261462,USPS,19-01-2022 23:45,25-01-2022 21:18,"Status: delivered: Description: January 25 4:18 pm Delivered, In/At Mailbox in AUGUSTA, GA, date: 25-01-2022 21:18",iFulfill Warehouse
3870175924151,9400111107984510293425,USPS,19-01-2022 23:42,24-01-2022 20:43,"Status: delivered: Description: January 24 3:43 pm Delivered, In/At Mailbox in MONROE, NY, date: 24-01-2022 20:43",iFulfill Warehouse
3870165564106,9400111107984510303391,USPS,19-01-2022 23:38,24-01-2022 15:49,"Status: delivered: Description: January 24 10:49 am Delivered, In/At Mailbox in NORTH CHARLESTON, SC, date: 24-01-2022 15:49",iFulfill Warehouse
3870164807979,9400111107984510329506,USPS,19-01-2022 23:34,22-01-2022 20:45,"Status: delivered: Description: January 22 3:45 pm Delivered, In/At Mailbox in BALLSTON LAKE, NY, date: 22-01-2022 20:45",iFulfill Warehouse
3870153324624,9400111107984510364842,USPS,19-01-2022 23:36,25-01-2022 17:01,"Status: delivered: Description: January 25 12:01 pm Delivered, In/At Mailbox in KISSIMMEE, FL, date: 25-01-2022 17:01",iFulfill Warehouse
3870175575901,9400111107984510547665,USPS,19-01-2022 23:49,24-01-2022 22:44,"Status: delivered: Description: January 24 5:44 pm Delivered, Front Door/Porch in JOHNS ISLAND, SC, date: 24-01-2022 22:44",iFulfill Warehouse
2870137930054,9400111107984511066783,USPS,20-01-2022 02:38,,"Status: pre_transit: Description: January 19 9:38 pm Shipping Label Created, USPS Awaiting Item in HOMER GLEN, IL, date: 20-01-2022 02:38",Hardway Warehouse
2870137930054,9400111107984511066783,USPS,20-01-2022 02:38,,"Status: pre_transit: Description: January 19 9:38 pm Shipping Label Created, USPS Awaiting Item in HOMER GLEN, IL, date: 20-01-2022 02:38",Hardway Warehouse
4870190027062,9400111107984511311821,USPS,20-01-2022 02:56,24-01-2022 16:39,"Status: delivered: Description: January 24 11:39 am Delivered, In/At Mailbox in SARASOTA, FL, date: 24-01-2022 16:39",Hardway Warehouse
3870199948740,9400111107984511335384,USPS,20-01-2022 02:54,,"Status: out_for_delivery: Description: January 26 6:10 am Out for Delivery, Expected Delivery by 9:00pm in PINELLAS PARK, FL, date: 26-01-2022 11:10",Hardway Warehouse
